SampleID,Population,Sex
F10D,Banyuls,Female
F1D,Banyuls,Female
F2D,Banyuls,Female
F3D,Banyuls,Female
F4D,Banyuls,Female
F6D,Banyuls,Female
F7D,Banyuls,Female
F8D,Banyuls,Female
F9D,Banyuls,Female
M2D,Banyuls,Male
M3D,Banyuls,Male
M4D,Banyuls,Male
M5D,Banyuls,Male
M6D,Banyuls,Male
M7D,Banyuls,Male
M8D,Banyuls,Male
M9D,Banyuls,Male
RF10D,Roscoff,Female
RF1D,Roscoff,Female
RF2D,Roscoff,Female
RF3D,Roscoff,Female
RF4D,Roscoff,Female
RF5D,Roscoff,Female
RF6D,Roscoff,Female
RF7D,Roscoff,Female
RF8D,Roscoff,Female
RM10D,Roscoff,Male
RM1D,Roscoff,Male
RM2D,Roscoff,Male
RM3D,Roscoff,Male
RM4D,Roscoff,Male
RM5D,Roscoff,Male
RM6D,Roscoff,Male
RM7D,Roscoff,Male
RM8D,Roscoff,Male
RU5D,Roscoff,Unknown
